renner,general,points,mountain,youth,winner,withdrawn
"GONZÁLEZ David",245,,,,,
"AZPARREN Xabier Mikel",245,,,,,
"SOSA Iván Ramiro",0,,,,,
"TUCKWELL Luke",0,,,0,,
"CORT Magnus",581,,,,,
"TILLER Rasmus",581,,,,,
"FERNÁNDEZ Sinuhé",581,,,,,
"ELOSEGUI Iñigo",581,,,,,
"TULETT Ben",581,,,581,,
"MACKELLAR Alastair",581,,,581,,
"VINE Jay",693,,,,,
"OLIVEIRA Ivo",693,,,,,
"ALMEIDA João",693,,,,,
"TORRES Pablo",693,,,693,,
"NOVAK Domen",693,,,,,
"SUNEKÆR NORSGAARD Mathias",693,,,,,
"SIVAKOV Pavel",693,,,,,
"VERMAERKE Kevin",693,,,,,
"VAN BOVEN Luca",,,,,,DNS
"POGAČAR Tadej",,,,,,DNF
"GAFFURI Mattia",,,,,,DNF
"VAN TRICHT Floris",,,,,,DNF
"URIARTE Diego",,,,,,DNF
