renner,general,points,mountain,youth,winner,withdrawn
"RAFFERTY Darren",38,,,38,,
"KÄMNA Lennard",43,,,,,
"VANSEVENANT Mauri",43,,,,,
"LUTSENKO Alexey",51,,,,,
"ROULAND Louis",71,,,71,,
"MONIQUET Sylvain",80,,,,,
"PARET-PEINTRE Valentin",85,,,85,,
"ROMEO Iván",109,,,109,,
"DE SCHUYTENEER Steffen",240,,,240,,
"LABROSSE Jordan",240,,,240,,
"ERMAKOV Roman",240,,,240,,
"DE VYLDER Lindsay",240,,,,,
"WILKSCH Hannes",240,,,240,,
"FAURA José Luis",240,,,,,
"GOVEKAR Matevž",240,,,,,
"APARICIO Mario",240,,,,,
"ROCHAS Rémy",240,,,,,
"THOMPSON Reuben",240,,,240,,
"GLIVAR Gal",240,,,240,,
"STEINHAUSER Georg",240,,,240,,
"THALMANN Roland",240,,,,,
"OURSELIN Paul",240,,,,,
"CORT Magnus",240,,,,,
"TJØTTA Martin",240,,,240,,
"GARCÍA PIERNA Raúl",240,,,240,,
"BENNETT George",240,,,,,
"FEDOROV Yevgeniy",240,,,,,
"KRUIJSWIJK Steven",312,,,,,
"DE JONG Timo",312,,,,,
"ARMIRAIL Bruno",312,15,,,,
"CALZONI Walter",312,,,312,,
"DALBY Simon",312,,,312,,
"DE LA CRUZ David",312,,,,,
"WANDAHL Frederik",312,,,312,,
"MACÍAS César",334,,,334,,
"MCKENZIE Hamish",515,,,515,,
"KRETSCHY Moritz",515,,,515,,
"ELOSEGUI Iñigo",515,,,,,
"VAN TRICHT Floris",515,,,515,,
"BRUSTENGA Marc",515,,,,,
"HERRADA Jesús",515,,,,,
"HAMILTON Chris",515,,,,,
"GOGL Michael",515,,,,,
"BUSATTO Francesco",515,,,515,,
"SOSA Iván Ramiro",515,,,,,
"HOULE Hugo",515,,,,,
"CRAPS Lars",515,,,515,,
"ROOSEN Timo",515,,,,,
"LE GAC Olivier",515,,,,,
"DOUBLE Paul",515,,,,,
"PEACE Oliver",515,,,515,,
"BELOKI Markel",515,,,515,,
"VERMAERKE Kevin",515,,,,,
"FORTUNATO Lorenzo",515,,,,,
"ARCAS Jorge",515,,,,,
"ALMEIDA João",515,,,,,
"VAN BEKKUM Darren",515,,,515,,
"MARTINEZ Juan Guillermo",515,,,515,,
"MACKELLAR Alastair",515,,,515,,
"MOSCA Jacopo",639,,,,,
"WENZEL Mats",639,,,639,,
"FERNÁNDEZ Sinuhé",639,,,,,
"CHAMBERLAIN Oscar",639,,,639,,
"HELLEMOSE Asbjørn",646,10,,,,
"PEDERSEN Mads",646,,,,,
"VERMEERSCH Gianni",646,,,,,
"SAMITIER Sergio",646,,,,,
"RENARD Alexis",646,,,,,
"HAMILTON Lucas",646,,,,,
"PAASSCHENS Mathijs",646,,,,,
"DE PESTEL Sander",646,,,,,
"SHAW James",646,,,,,
"HAIG Jack",646,,,,,
"SÜTTERLIN Jasha",646,,,,,
"THORNLEY Callum",646,,,646,,
"MOSCON Gianni",646,,,,,
"SUNEKÆR NORSGAARD Mathias",646,,,,,
"DÍAZ José Manuel",646,,,,,
"HAYTER Ethan",646,20,,,,
"TURNER Ben",646,,,,,
"KRON Andreas",646,,,,,
"TARLING Joshua",646,,,646,,
"GROVES Kaden",646,,,,,
"SENTJENS Sente",646,,,646,,
"KLUCKERS Arthur",646,,,,,
"URIARTE Diego",646,,,646,,
"CASTRILLO Pablo",646,,,646,,
"NOVAK Domen",646,,,,,
"OLIVEIRA Ivo",646,,,,,
"VAN SINTMAARTENSDIJK Roel",,,,,,DNF
"UIJTDEBROEKS Cian",,,,,,DNS
