"renner","general","points","mountain","youth","winner","withdrawn"
"CHAMBERLAIN Oscar","0","0","0","0","",""
"KONRAD Patrick","0","0","0","","",""
"PORTER Rudy","0","0","0","","",""
"VAN DEN BOSSCHE Fabio","0","0","0","","",""
"MARTIN Guillaume","0","0","0","","",""
"KUSS Sepp","0","0","0","","",""
"MOSCA Jacopo","0","0","0","","",""
"BISIAUX Léo","0","0","0","0","",""
"WARBASSE Larry","0","0","0","","",""
"BOUWMAN Koen","0","0","0","","",""
"ONLEY Oscar","0","0","0","0","",""
"SVESTAD-BÅRDSENG Embret","0","0","0","0","",""
"BERNARD Julien","0","0","0","","",""
"SKJELMOSE Mattias","0","0","0","","",""
"RODRÍGUEZ Cristián","0","0","0","","",""
"FAURA José Luis","0","0","0","","",""
"PAASSCHENS Mathijs","0","0","0","","",""
"RICCITELLO Matthew","0","0","0","0","",""
"HAYTER Ethan","0","0","0","","",""
"GAROFOLI Gianmarco","0","0","0","0","",""
"APARICIO Mario","0","0","0","","",""
"HAMILTON Chris","0","0","0","","",""
"BERRADE Urko","0","0","0","","",""
"DVERSNES LAVIK Fredrik","0","0","0","","",""
"THALMANN Roland","0","0","0","","",""
"RODRIGUEZ Juan Felipe","0","0","0","0","",""
"DÍAZ José Manuel","0","0","0","","",""
"MARTÍ Pau","0","0","0","0","",""
"TEJADA Harold","0","0","0","","",""
"HIRT Jan","0","0","0","","",""
"ROTA Lorenzo","0","0","0","","",""
"ZANA Filippo","0","0","0","","",""
"MOLARD Rudy","0","0","0","","",""
"WILKSCH Hannes","0","0","0","0","",""
"VAN BEKKUM Darren","0","0","0","0","",""
"ERMAKOV Roman","0","0","0","0","",""
"VERMAERKE Kevin","0","0","0","","",""
"HELLEMOSE Asbjørn","0","0","0","","",""
"WANDAHL Frederik","0","0","0","0","",""
"RODRÍGUEZ Carlos","0","0","0","0","",""
"SUNEKÆR NORSGAARD Mathias","0","0","0","","",""
"BUITRAGO Santiago","0","0","0","","",""
"KÄMNA Lennard","0","0","0","","",""
"GLOAG Thomas","0","0","0","0","",""
"ROCHAS Rémy","0","0","0","","",""
"BRENNER Marco","0","0","0","0","",""
"MARTINEZ Juan Guillermo","0","0","0","0","",""
"VALTER Attila","0","0","0","","",""
"FORTUNATO Lorenzo","0","0","0","","",""
"LANDA Mikel","0","0","0","","",""
"KRON Andreas","0","0","0","","",""
"JOHANNESSEN Tobias Halland","0","0","0","","",""
"BILBAO Pello","0","0","0","","",""
"RUIZ Ibon","0","0","0","","",""
"CANAL Carlos","33","0","0","0","",""
"CAMPRUBÍ Marcel","37","0","0","4","",""
"OURSELIN Paul","48","0","0","","",""
"GARCÍA PIERNA Raúl","48","0","0","15","",""
"THOMPSON Reuben","55","0","0","22","",""
"CRAPS Lars","55","0","0","22","",""
"HERRADA Jesús","55","0","0","","",""
"NYS Thibau","55","0","0","22","",""
"PARET-PEINTRE Valentin","55","0","0","22","",""
"HAMILTON Lucas","55","0","0","","",""
"VERMEERSCH Gianni","55","0","0","","",""
"FISHER-BLACK Finn","55","0","0","22","",""
"TUCKWELL Luke","55","0","0","22","",""
"TJØTTA Martin","72","0","0","39","",""
"DALBY Simon","72","0","0","39","",""
"VANSEVENANT Mauri","72","0","0","","",""
"SCHULTZ Nick","81","0","0","","",""
"OLIVEIRA Ivo","85","0","0","","",""
"KRUIJSWIJK Steven","85","0","0","","",""
"BARTA Will","85","0","0","","",""
"HAIG Jack","85","0","0","","",""
"NORDHAGEN Jørgen","85","0","0","52","",""
"DUNBAR Eddie","85","0","0","","",""
"DE LA CRUZ David","85","0","0","","",""
"DEBRUYNE Ramses","90","0","0","57","",""
"THORNLEY Callum","94","0","0","61","",""
"WENZEL Mats","106","0","0","73","",""
"WIDAR Jarno","106","0","0","73","",""
"DOUBLE Paul","106","0","0","","",""
"ALBANESE Vincenzo","133","0","0","","",""
"ARCAS Jorge","133","0","0","","",""
"CALZONI Walter","133","0","0","100","",""
"SOSA Iván Ramiro","133","0","0","","",""
"ALMEIDA João","133","0","0","","",""
"NOVAK Domen","133","0","0","","",""
"PALENI Enzo","150","17","0","117","",""
"STEINHAUSER Georg","150","0","0","117","",""
"RAFFERTY Darren","168","0","0","135","",""
"MACKELLAR Alastair","168","0","0","135","",""
"AZPARREN Xabier Mikel","0","0","0","","",""
"MONIQUET Sylvain","417","0","0","","",""
"ROULAND Louis","417","0","0","384","",""
"SAMITIER Sergio","417","0","0","","",""
"FERNÁNDEZ Sinuhé","437","20","0","","",""
"ROMEO Iván","611","0","0","578","",""
"CASTRILLO Pablo","611","0","0","578","",""
