"renner";"bc";"rank";"team";"bc_naam"
"Pacher Quentin";"156,25";"133";"Groupama - FDJ United";"Quentin Pacher"
"Russo Clément";"156,25";"144";"Groupama - FDJ United";"Clément Russo"
"Alaphilippe Julian";"156,25";"59";"Tudor Pro Cycling Team";"Julian Alaphilippe"
"de Kleijn Arvid";"156,25";"88";"Tudor Pro Cycling Team";"Arvid de Kleijn"
"Haller Marco";"156,25";"107";"Tudor Pro Cycling Team";"Marco Haller"
"Hirschi Marc";"156,25";"112";"Tudor Pro Cycling Team";"Marc Hirschi"
"Pluimers Rick";"156,25";"139";"Tudor Pro Cycling Team";"Rick Pluimers"
"Storer Michael";"156,25";"152";"Tudor Pro Cycling Team";"Michael Storer"
"Trentin Matteo";"156,25";"159";"Tudor Pro Cycling Team";"Matteo Trentin"
"Voisard Yannis";"156,25";"180";"Tudor Pro Cycling Team";"Yannis Voisard"
"Jegat Jordan";"234,375";"56";"TotalEnergies";"Jordan Jegat"
"Breuillard Nicolas";"156,25";"79";"TotalEnergies";"Nicolas Breuillard"
"Delbove Joris";"156,25";"91";"TotalEnergies";"Joris Delbove"
"Delettre Alexandre";"156,25";"92";"TotalEnergies";"Alexandre Delettre"
"Guernalec Thibault";"156,25";"106";"TotalEnergies";"Thibault Guernalec"
"Le Berre Mathis";"156,25";"119";"TotalEnergies";"Mathis Le Berre"
"Turgis Anthony";"156,25";"160";"TotalEnergies";"Anthony Turgis"
"Vercher Mattéo";"156,25";"175";"TotalEnergies";"Mattéo Vercher"
"Barguil Warren";"156,25";"68";"Team Picnic PostNL";"Warren Barguil"
"Biesterbos Frits";"156,25";"76";"Team Picnic PostNL";"Frits Biesterbos"
"Bittner Pavel";"812,5";"20";"Team Picnic PostNL";"Pavel Bittner"
"Degenkolb John";"156,25";"90";"Team Picnic PostNL";"John Degenkolb"
"Dhondt Robbe";"156,25";"94";"Team Picnic PostNL";"Robbe Dhondt"
"Märkl Niklas";"156,25";"121";"Team Picnic PostNL";"Niklas Märkl"
"van den Berg Julius";"156,25";"165";"Team Picnic PostNL";"Julius van den Berg"
"van den Broek Frank";"156,25";"166";"Team Picnic PostNL";"Frank van den Broek"
"Gaviria Fernando";"312,5";"44";"Caja Rural - Seguros RGA";"Fernando Gaviria"
"Balderstone Abel";"156,25";"66";"Caja Rural - Seguros RGA";"Abel Balderstone"
"Berwick Sebastian";"156,25";"74";"Caja Rural - Seguros RGA";"Sebastian Berwick"
"Molenaar Alex (DNS #6)";"156";"184";"Caja Rural - Seguros RGA";"Alex Molenaar"
"Nicolau Joel";"156,25";"128";"Caja Rural - Seguros RGA";"Joel Nicolau"
"Oldani Stefano";"156,25";"130";"Caja Rural - Seguros RGA";"Stefano Oldani"
"Otruba Jakub";"156,25";"132";"Caja Rural - Seguros RGA";"Jakub Otruba"
"Parra José Félix";"156,25";"136";"Caja Rural - Seguros RGA";"José Félix Parra"
